Fighter,Division,Stance,top10_wins,elo_avg,elo_max,years_in_top10,years_champ,ko_percentage,win_percentage
Vitali Klitschko,Heavyweight,Orthodox,0.0869565217391,1355.57394503,1474.92658111,9,1,0.804347826087,0.95652173913
Young Tommy,NA,NA,0.0869565217391,1249.25151427,1350.84188631,3,0,0.228260869565,0.673913043478
Leonard Dorin,Lightweight,Orthodox,0.0869565217391,1370.3816143,1444.52993274,2,0,0.304347826087,0.869565217391
Chris Byrd,Heavyweight,Southpaw,0.0869565217391,1361.49797113,1478.42307238,7,0,0.391304347826,0.869565217391
Vic Darchinyan,Featherweight,Southpaw,0.0869565217391,1287.12915239,1405.03176475,11,0,0.586956521739,0.826086956522
Teddy Yarosz,NA,NA,0.0866141732283,1373.84385237,1502.82624632,9,0,0.133858267717,0.834645669291
Bruce Flowers,NA,NA,0.0862068965517,1280.3668614,1487.48714354,3,0,0.129310344828,0.629310344828
Montell Griffin,Light Heavyweight,Orthodox,0.0862068965517,1289.97122094,1393.57378537,10,0,0.48275862069,0.844827586207
Sid Terris,NA,NA,0.0862068965517,1279.49895003,1367.24814603,3,0,0.103448275862,0.844827586207
Jimmy Lydon,NA,NA,0.0857142857143,1230.61085522,1282.45848376,0,0,0.314285714286,0.685714285714
Jersey Joe Walcott,Heavyweight,Orthodox,0.0857142857143,1302.65076076,1389.96177273,8,1,0.442857142857,0.714285714286
Lorenzo Parra,Super Bantamweight,Orthodox,0.0857142857143,1329.3101488,1416.7043147,4,0,0.485714285714,0.857142857143
Willie Pastrano,Light Heavyweight,Orthodox,0.0853658536585,1260.8100677,1361.04499846,10,2,0.158536585366,0.743902439024
Lloyd Marshall,Light Heavyweight,Orthodox,0.0846153846154,1256.47958383,1333.52413782,11,0,0.361538461538,0.707692307692
Leo Lomski,Light Heavyweight,Orthodox,0.0845070422535,1267.84488646,1399.8920624,5,0,0.267605633803,0.704225352113
Tami Mauriello,Light Heavyweight,Orthodox,0.0842105263158,1381.89955079,1482.52082723,6,0,0.578947368421,0.852631578947
Zora Folley,Heavyweight,Orthodox,0.0842105263158,1254.33637117,1365.89891319,11,0,0.463157894737,0.821052631579
Bruno Arcari,Light Welterweight,Southpaw,0.0833333333333,1358.54831848,1476.05434335,9,0,0.513888888889,0.972222222222
Ossie Ocasio,Cruiserweight,Orthodox,0.0833333333333,1278.82170747,1343.09196939,4,0,0.277777777778,0.611111111111
